img_file,family,species
38273,Balistidae,Abalistes stellatus
36105,Scorpaenidae,Ablabys macracanthus
106627,Scorpaenidae,Ablabys taenianotus
59645,Scorpaenidae,Ablabys taenianotus
107816,Belonidae,Ablennes hians
49938,Anostomidae,Abramites hypselonotus
76135,Pomacentridae,Abudefduf abdominalis
24035,Pomacentridae,Abudefduf bengalensis
91676,Pomacentridae,Abudefduf caudobimaculatus
20729,Pomacentridae,Abudefduf lorenzi
30310,Pomacentridae,Abudefduf notatus
39853,Pomacentridae,Abudefduf septemfasciatus
22104,Pomacentridae,Abudefduf sexfasciatus
31297,Pomacentridae,Abudefduf sordidus
141489,Pomacentridae,Abudefduf vaigiensis
20587,Percophidae,Acanthaphritis barbatum
20606,Percophidae,Acanthaphritis unoorum
25849,Cepolidae,Acanthocepola indica
108185,Cepolidae,Acanthocepola krusensternii
10144,Cepolidae,Acanthocepola limbata
80378,Pomacentridae,Acanthochromis polyacanthus
89566,Scombridae,Acanthocybium solandri
107286,Gobiidae,Acanthogobius flavimanus
37465,Gobiidae,Acanthogobius flavimanus
21462,Gobiidae,Acanthogobius insularis
103,Gobiidae,Acanthogobius lactipes
55022,Gobiidae,Acanthogobius lactipes
46099,Sparidae,Acanthopagrus chinshira
107305,Sparidae,Acanthopagrus latus
107118,Sparidae,Acanthopagrus pacificus
107307,Sparidae,Acanthopagrus schlegelii
19038,Sparidae,Acanthopagrus sivicolus
75397,Acanthoclinidae,Acanthoplesiops psilogaster
44153,Pleuronectidae,Acanthopsetta nadeshnyi
88086,Aploactinidae,Acanthosphex leurynnis
76126,Acanthuridae,Acanthurus achilles
5244,Acanthuridae,Acanthurus bariene
89485,Acanthuridae,Acanthurus blockii
25640,Acanthuridae,Acanthurus coeruleus
5510,Acanthuridae,Acanthurus coeruleus
11964,Acanthuridae,Acanthurus dussumieri
72342,Acanthuridae,Acanthurus guttatus
72630,Acanthuridae,Acanthurus japonicus
72339,Acanthuridae,Acanthurus leucopareius
15759,Acanthuridae,Acanthurus lineatus
77616,Acanthuridae,Acanthurus maculiceps
25645,Acanthuridae,Acanthurus mata
140761,Acanthuridae,Acanthurus nigricans
33549,Acanthuridae,Acanthurus nigricauda
17513,Acanthuridae,Acanthurus nigrofuscus
141639,Acanthuridae,Acanthurus olivaceus
15200,Acanthuridae,Acanthurus pyroferus
140520,Acanthuridae,Acanthurus thompsoni
107257,Acanthuridae,Acanthurus triostegus
28060,Acanthuridae,Acanthurus xanthopterus
19055,Gobiidae,Acentrogobius audax
43198,Gobiidae,Acentrogobius caninus
98925,Gobiidae,Acentrogobius cenderawasih
20026,Gobiidae,Acentrogobius janthinopterus
41624,Gobiidae,Acentrogobius moloanus
42459,Gobiidae,Acentrogobius multifasciatus
95703,Gobiidae,Acentrogobius phlaumii
19057,Gobiidae,Acentrogobius suluensis
17438,Gobiidae,Acentrogobius viganensis
37136,Gobiidae,Acentrogobius virgatulus
42555,Gobiidae,Acentrogobius viridipunctatus
76428,Syngnathidae,Acentronura (Acentronura) gracilissima
76432,Syngnathidae,Acentronura (Acentronura) gracilissima
1213,Syngnathidae,Acentronura (Acentronura) tentaculata
68541,Syngnathidae,Acentronura (Acentronura) tentaculata
44757,Cyprinidae,Acheilognathus cyanostigma
54481,Cyprinidae,Acheilognathus macropterus
56077,Cyprinidae,Acheilognathus melanogaster
43046,Cyprinidae,Acheilognathus rhombeus
44734,Cyprinidae,Acheilognathus tabira erythropterus
44737,Cyprinidae,Acheilognathus tabira jordani
56127,Cyprinidae,Acheilognathus tabira nakamurae
44764,Cyprinidae,Acheilognathus tabira tabira
43628,Cyprinidae,Acheilognathus tabira tohokuensis
48158,Cyprinidae,Acheilognathus typus
55417,Cyprinidae,Acheilognathus yamatsutae
55646,Acipenseridae,Acipenser baerii
33363,Monacanthidae,Acreichthys hajam
72457,Monacanthidae,Acreichthys radiatus
41493,Monacanthidae,Acreichthys tomentosus
53324,Monacanthidae,Acreichthys tomentosus
98791,Monacanthidae,Acreichthys tomentosus
47570,Akysidae,Acrochordonichthys rugosus
48805,Acropomatidae,Acropoma japonicum
23640,Centriscidae,Aeoliscus strigatus
107738,Cichlidae,Aequidens pallidus
57604,Pataecidae,Aetapcus maculatus
107445,Serranidae,Aethaloperca rogaa
